player_id,game_mode,region,snapshot_time,rating
235277404,0,NA,2026-08-05 03:37:45.614235+00,10485
204194841,0,NA,2026-08-05 03:37:45.614238+00,10467
18198630,0,NA,2026-08-05 03:37:45.614241+00,10466
8231,0,NA,2026-08-05 03:37:45.614244+00,10431
106785002,0,NA,2026-08-05 03:37:45.614247+00,10418
46510437,0,NA,2026-08-05 03:37:45.61425+00,10416
191827279,0,NA,2026-08-05 03:37:45.614253+00,10403
13617910,0,NA,2026-08-05 03:37:45.614256+00,10400
3269,0,NA,2026-08-05 03:37:46.015353+00,10387
33627483,0,NA,2026-08-05 03:37:46.015374+00,10384
610605,0,NA,2026-08-05 03:37:46.015378+00,10376
171319199,0,NA,2026-08-05 03:37:46.01538+00,10376
182573453,0,NA,2026-08-05 03:37:46.015383+00,10371
340178143,0,NA,2026-08-05 03:37:46.015386+00,10370
164406013,0,NA,2026-08-05 03:37:46.015389+00,10364
8165880,0,NA,2026-08-05 03:37:46.015391+00,10363
230219698,0,NA,2026-08-05 03:37:46.015394+00,10351
181591295,0,NA,2026-08-05 03:37:46.015397+00,10347
2795,0,NA,2026-08-05 03:37:46.015399+00,10342
8808554,0,NA,2026-08-05 03:37:46.015402+00,10340
124053341,0,NA,2026-08-05 03:37:46.015404+00,10335
192633862,0,NA,2026-08-05 03:37:46.015407+00,10329
9122854,0,NA,2026-08-05 03:37:46.01541+00,10324
17288332,0,NA,2026-08-05 03:37:46.015412+00,10321
26628874,0,NA,2026-08-05 03:37:46.015415+00,10320
12263724,0,NA,2026-08-05 03:37:46.015417+00,10318
291641911,0,NA,2026-08-05 03:37:46.01542+00,10310
335733486,0,NA,2026-08-05 03:37:46.015423+00,10307
63,0,NA,2026-08-05 03:37:46.015426+00,10302
10206,0,NA,2026-08-05 03:37:46.015428+00,10302
46140398,0,NA,2026-08-05 03:37:46.015431+00,10300
274425290,0,NA,2026-08-05 03:37:46.015434+00,10295
166135231,0,NA,2026-08-05 03:37:46.015436+00,10290
45257823,0,NA,2026-08-05 03:37:46.911841+00,10267
11169,0,NA,2026-08-05 03:37:46.911872+00,10260
186707504,0,NA,2026-08-05 03:37:46.911877+00,10256
314873874,0,NA,2026-08-05 03:37:46.911887+00,10255
6087538,0,NA,2026-08-05 03:37:46.91189+00,10253
9993,0,NA,2026-08-05 03:37:46.911893+00,10252
181315213,0,NA,2026-08-05 03:37:46.911897+00,10250
110777427,0,NA,2026-08-05 03:37:46.9119+00,10248
8302,0,NA,2026-08-05 03:37:46.911903+00,10241
202229008,0,NA,2026-08-05 03:37:46.911906+00,10232
166025918,0,NA,2026-08-05 03:37:46.911909+00,10231
348061723,0,NA,2026-08-05 03:37:46.911911+00,10229
258951526,0,NA,2026-08-05 03:37:46.911915+00,10220
188414875,0,NA,2026-08-05 03:37:46.911917+00,10219
10009,0,NA,2026-08-05 03:37:46.91192+00,10214
9206,0,NA,2026-08-05 03:37:46.911923+00,10213
406408709,0,NA,2026-08-05 03:37:46.911926+00,10207
3264,0,NA,2026-08-05 03:37:46.911929+00,10199
209588859,0,NA,2026-08-05 03:37:46.911932+00,10198
3055,0,NA,2026-08-05 03:37:46.911935+00,10195
396906431,0,NA,2026-08-05 03:37:46.911938+00,10195
216265989,0,NA,2026-08-05 03:37:46.911941+00,10190
335501304,0,NA,2026-08-05 03:37:46.911943+00,10189
2494037,0,NA,2026-08-05 03:37:46.911946+00,10184
204682256,0,NA,2026-08-05 03:37:46.911949+00,10181
343590968,0,NA,2026-08-05 03:37:47.886002+00,10175
8591,0,NA,2026-08-05 03:37:47.886023+00,10173
11992486,0,NA,2026-08-05 03:37:47.886026+00,10167
1784682,0,NA,2026-08-05 03:37:47.886029+00,10167
10350,0,NA,2026-08-05 03:37:47.886033+00,10164
8175,0,NA,2026-08-05 03:37:47.886036+00,10159
9568,0,NA,2026-08-05 03:37:47.886038+00,10155
17978071,0,NA,2026-08-05 03:37:47.886041+00,10149
9997,0,NA,2026-08-05 03:37:47.886044+00,10147
85492390,0,NA,2026-08-05 03:37:47.886046+00,10145
8980,0,NA,2026-08-05 03:37:47.886049+00,10145
13012178,0,NA,2026-08-05 03:37:47.886052+00,10144
51827030,0,NA,2026-08-05 03:37:47.886054+00,10143
9386,0,NA,2026-08-05 03:37:47.886057+00,10143
10212,0,NA,2026-08-05 03:37:47.88606+00,10142
23176923,0,NA,2026-08-05 03:37:47.886063+00,10131
35389292,0,NA,2026-08-05 03:37:47.886065+00,10127
5006858,0,NA,2026-08-05 03:37:47.886068+00,10121
177021600,0,NA,2026-08-05 03:37:47.886071+00,10121
49450136,0,NA,2026-08-05 03:37:47.886073+00,10117
220146966,0,NA,2026-08-05 03:37:47.886076+00,10111
282946333,0,NA,2026-08-05 03:37:47.886079+00,10111
3294,0,NA,2026-08-05 03:37:47.886082+00,10109
9119,0,NA,2026-08-05 03:37:47.886085+00,10108
9633093,0,NA,2026-08-05 03:37:47.886087+00,10108
30758147,0,NA,2026-08-05 03:37:48.61466+00,10106
1650901,0,NA,2026-08-05 03:37:48.614696+00,10102
8706782,0,NA,2026-08-05 03:37:48.614699+00,10101
9621,0,NA,2026-08-05 03:37:48.614703+00,10098
8598,0,NA,2026-08-05 03:37:48.614705+00,10094
299075392,0,NA,2026-08-05 03:37:48.614708+00,10093
385419946,0,NA,2026-08-05 03:37:48.614711+00,10092
4354370,0,NA,2026-08-05 03:37:48.614714+00,10084
19204278,0,NA,2026-08-05 03:37:48.614717+00,10084
101735244,0,NA,2026-08-05 03:37:48.614719+00,10083
316250644,0,NA,2026-08-05 03:37:48.614722+00,10082
8580,0,NA,2026-08-05 03:37:48.614725+00,10080
278279693,0,NA,2026-08-05 03:37:48.614728+00,10079
363141388,0,NA,2026-08-05 03:37:48.61473+00,10076
349030618,0,NA,2026-08-05 03:37:48.614733+00,10075
320805291,0,NA,2026-08-05 03:37:48.614736+00,10073
41209338,0,NA,2026-08-05 03:37:48.614739+00,10072
4227771,0,NA,2026-08-05 03:37:48.614741+00,10071
187206012,0,NA,2026-08-05 03:37:48.614744+00,10069
152621063,0,NA,2026-08-05 03:37:48.614747+00,10068
3450904,0,NA,2026-08-05 03:37:48.61475+00,10067
134701812,0,NA,2026-08-05 03:37:48.614752+00,10062
381680220,0,NA,2026-08-05 03:37:48.614755+00,10061
162999688,0,NA,2026-08-05 03:37:48.614758+00,10060
9395,0,NA,2026-08-05 03:37:48.614761+00,10059
5030390,0,NA,2026-08-05 03:37:49.013949+00,10059
370599562,0,NA,2026-08-05 03:37:49.013975+00,10055
9833,0,NA,2026-08-05 03:37:49.013978+00,10055
27004841,0,NA,2026-08-05 03:37:49.013981+00,10054
370002200,0,NA,2026-08-05 03:37:49.013984+00,10054
3302,0,NA,2026-08-05 03:37:49.013986+00,10053
21887221,0,NA,2026-08-05 03:37:49.013989+00,10053
146405014,0,NA,2026-08-05 03:37:49.013992+00,10052
